TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,CitySigns,MiniMap,NavigationArrow,PlayerRotation,ReachedLocation
62107.856,1515.792,City,8.099995,1.510022,90.22162,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.864,1515.784,City,8.099995,1.510022,90.22163,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.867,1515.776,City,8.099995,1.510022,90.22163,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.869,1515.773,City,8.099995,1.510022,90.22163,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.872,1515.77,City,8.099995,1.510022,90.22163,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.875,1515.767,City,8.099995,1.510022,90.22163,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.879,1515.765,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.881,1515.762,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.884,1515.759,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.887,1515.756,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.889,1515.753,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.892,1515.75,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.895,1515.747,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.899,1515.745,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.901,1515.742,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.904,1515.739,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
62107.907,1515.736,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,1,1,270,0
