TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,LevelNumber,Type,Scenario,Category,ImagesToFind,Columns,Rows,ObjectiveVisible,HintsActive,SelectedImage,CorrectImages,Wrong Images
61324.074,1681.763,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.082,1681.753,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.091,1681.744,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.100,1681.735,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.116,1681.726,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.124,1681.711,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.133,1681.702,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.141,1681.694,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.149,1681.686,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.157,1681.678,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.165,1681.67,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.173,1681.661,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.181,1681.653,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.189,1681.645,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.201,1681.637,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.210,1681.625,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.225,1681.617,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.240,1681.602,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.248,1681.587,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.257,1681.578,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.264,1681.57,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.273,1681.562,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.281,1681.553,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.289,1681.545,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.297,1681.537,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.305,1681.529,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.314,1681.521,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.322,1681.513,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.331,1681.504,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.339,1681.496,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.347,1681.487,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.355,1681.479,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.363,1681.471,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.371,1681.463,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.379,1681.455,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.389,1681.447,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.398,1681.438,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.406,1681.429,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.414,1681.42,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.423,1681.412,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.431,1681.404,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.439,1681.396,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.451,1681.388,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.459,1681.375,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.477,1681.367,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.485,1681.349,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.494,1681.341,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.502,1681.333,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.510,1681.325,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.519,1681.317,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.527,1681.307,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.538,1681.299,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
61324.553,1681.288,FashionStore,0,0.893,-1.45,0,0,PlayRehatask,0,30,1,NaN,Category,1,NaN,0,0,0,TextSmallDisplay,0,NaN,0,0
