TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,CitySigns,MiniMap,NavigationArrow,PlayerRotation,ReachedLocation
61766.801,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.814,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.825,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.830,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.835,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.840,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.845,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.849,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.854,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.858,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.862,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.866,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.871,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.876,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.884,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.887,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.892,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.896,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.901,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.906,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.911,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.915,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.919,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.924,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.929,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.934,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.938,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.942,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.947,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.951,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.956,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.961,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.965,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.970,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.974,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.980,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.984,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.989,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.993,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61766.998,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.002,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.006,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.011,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.016,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.020,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.024,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.030,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.036,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.040,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.044,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.049,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.053,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.058,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.063,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.067,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.072,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.076,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.080,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.085,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.089,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.094,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.099,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.103,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.108,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.112,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.117,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.122,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.126,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.131,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.136,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.141,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.145,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.150,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.155,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.160,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.164,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.169,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.173,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.178,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.182,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.190,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.193,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.198,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.202,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.206,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.212,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.218,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
61767.222,1800,City,-105.7,1.399202,-0.9,0,0,GoToHome,0,0,1,1,0,0,90.00001,0
