TimeInSeconds,TimeToFinishSession,Scene,PlayerPositionX,PlayerPositionY,PlayerPositionZ,RawInputPositionX,RawInputPositionZ,ObjectiveType,ObjectiveCompletion,Score,ObjectiveWindow,CitySigns,MiniMap,NavigationArrow,PlayerRotation,ReachedLocation
61286.524,1719.193,City,8.099995,1.510022,90.22163,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.533,1719.181,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.535,1719.174,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.539,1719.17,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.542,1719.167,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.544,1719.164,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.547,1719.161,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.550,1719.158,City,8.099995,1.510022,90.22165,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.554,1719.155,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.556,1719.152,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.560,1719.149,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.563,1719.146,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.566,1719.143,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.569,1719.14,City,8.099995,1.510022,90.22166,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.572,1719.137,City,8.099995,1.510022,90.22168,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
61286.574,1719.134,City,8.099995,1.510022,90.22168,0,0,GoToFashionStore,0,20,1,1,0,0,270,0
